file_name,Q_port1,Q_port2,coupling_coefficient,bandwidth_13_Hz,bandwidth_23_Hz,group_delay_13_s,group_delay_23_s,min_insertion_loss_13_dB,min_insertion_loss_23_dB
device_0001__Sparams.csv,374.3276976887443,321.63151785471814,-0.6,100000000000.0,100000000000.0,3.5701796457191192e-12,2.564725516791646e-12,-6.444632219578209,-3.5218251767706805
device_0002__Sparams.csv,471.1713150923929,396.15832534074434,-0.6,90000000000.0,100000000000.0,3.380399353890074e-12,2.5258013307400175e-12,-6.651716243819925,-3.5218251767706805
device_0003__Sparams.csv,461.6855087506067,269.7636702127312,0.10415824700606377,100000000000.0,80000000000.0,6.096474361007562e-12,3.1065643689786576e-12,-8.292341586872514,-7.644423563339143
device_0004__Sparams.csv,431.0449300908409,288.9619957555664,-0.2008365601593396,70000000000.0,100000000000.0,4.320550128034419e-12,3.398769080414481e-12,-7.142315623825164,-3.5218251767706805
device_0005__Sparams.csv,558.466496583441,360.281954491619,0.04366407221508235,100000000000.0,80000000000.0,6.053826369807301e-12,3.5131067966472624e-12,-10.667750792022886,-8.087919944687705
device_0006__Sparams.csv,398.15254681996726,324.5181343727104,-0.4,70000000000.0,100000000000.0,3.713806651307002e-12,2.891676994232824e-12,-7.8933322928772265,-3.5218251767706805
device_0007__Sparams.csv,425.98545381097466,332.9545403081062,-0.42580769145497027,60000000000.0,100000000000.0,3.825066303872604e-12,3.0274230997253767e-12,-8.951269728800591,-3.5218251767706805
device_0008__Sparams.csv,493.8025328709772,337.57034954508276,0.06842188507569333,100000000000.0,80000000000.0,6.556658316214853e-12,3.2116451137360877e-12,-9.098712930227148,-10.090542264838085
device_0009__Sparams.csv,389.7987939170611,342.9460831133723,-0.6,90000000000.0,100000000000.0,3.491871276912484e-12,2.4505657572231213e-12,-6.541147062974217,-3.5218251767706805
device_0010__Sparams.csv,518.7817120870693,323.6373279077963,0.05652778565562385,100000000000.0,80000000000.0,6.5415685530571714e-12,3.4515605379455303e-12,-11.011207671516644,-10.286109898672851
device_0011__Sparams.csv,470.6767511129507,252.03751808057737,-0.15462099628390372,30000000000.0,90000000000.0,5.228276620088877e-12,3.029428702287508e-12,-10.699313218838745,-3.7552028807504407
device_0012__Sparams.csv,435.8669116739301,267.62679948162946,-0.23642818171394583,60000000000.0,100000000000.0,4.592651007389592e-12,3.582768687137186e-12,-8.140288360302089,-4.207271876890991
device_0013__Sparams.csv,474.2762395517958,257.03237869302404,-0.1445963270920199,30000000000.0,90000000000.0,5.348167423371311e-12,2.9995531592536185e-12,-10.822526819722096,-3.9711851293017855
device_0014__Sparams.csv,563.7891340818923,336.10042219838226,-0.01444055773764471,20000000000.0,80000000000.0,5.260106778656599e-12,3.5545873288121594e-12,-13.617592788210542,-4.576349950543178
device_0015__Sparams.csv,471.2481235300988,257.8066670092609,-0.1628557254104406,30000000000.0,100000000000.0,4.4801813212966574e-12,2.7946309860170695e-12,-13.049365537169251,-3.5218251767706805
device_0016__Sparams.csv,458.49003867313616,248.25234015191586,-0.1221942824285163,30000000000.0,90000000000.0,5.575287629173734e-12,3.116307118837637e-12,-9.340897283321123,-5.167350077829688
device_0017__Sparams.csv,466.4776715607568,261.7415103440216,0.14372740464006303,100000000000.0,90000000000.0,5.782134389924e-12,3.0767587740826753e-12,-9.44278703217101,-5.2757786169270515
device_0018__Sparams.csv,446.14401558260266,294.71621400172216,-0.2535837803230768,50000000000.0,100000000000.0,4.091740191361681e-12,3.325241210442267e-12,-9.389236575935584,-3.5218251767706805
device_0019__Sparams.csv,435.69461691689605,283.0156854600117,-0.10583198234320035,30000000000.0,90000000000.0,4.1672079470937534e-12,2.5872353426612e-12,-12.12369682388228,-3.5218251767706805
device_0020__Sparams.csv,508.0371747302818,439.8670522570196,-0.6,90000000000.0,100000000000.0,3.3378156840945907e-12,2.5400461452776607e-12,-6.7487420530634745,-3.5218251767706805
device_0021__Sparams.csv,402.1627131795318,281.5499609628019,-0.07448694632803145,40000000000.0,100000000000.0,4.519590451512604e-12,2.4430396448422533e-12,-9.684768744981442,-3.5218251767706805
device_0022__Sparams.csv,487.60616665705413,388.9582377646743,-0.6,70000000000.0,100000000000.0,3.2708423738188568e-12,2.5482521661360475e-12,-7.558638241159267,-3.5218251767706805
device_0023__Sparams.csv,487.395139597105,359.42069711364024,0.10813014500326021,100000000000.0,70000000000.0,7.164777928692256e-12,2.6377004656657687e-12,-9.836860638930329,-11.20420144388656
device_0024__Sparams.csv,455.09735035214,322.88145677031497,0.14428479033735356,100000000000.0,80000000000.0,7.007019847828296e-12,2.664519287281762e-12,-9.068277049925847,-10.12821986127597
device_0025__Sparams.csv,495.9805696097389,412.6254545605764,-0.8,100000000000.0,100000000000.0,3.0671371622579675e-12,2.2118830273070263e-12,-6.171521036164897,-3.5218251767706805
device_0026__Sparams.csv,506.64103271652687,339.7170302989023,0.091857395046537,100000000000.0,70000000000.0,6.765132108463826e-12,2.951238866930526e-12,-8.769666575607731,-10.990448101892436
device_0027__Sparams.csv,471.75690359830344,245.40141939593752,-0.1270473732140023,30000000000.0,90000000000.0,4.685043323282204e-12,2.8483943756596756e-12,-11.383896580103478,-3.5218251767706805
device_0028__Sparams.csv,459.68378963879036,249.89320502526914,-0.09562381118589094,30000000000.0,90000000000.0,5.5794031903053395e-12,3.0084881864156228e-12,-8.94566371539799,-4.868774523034115
device_0029__Sparams.csv,407.1681161731366,273.26226876241225,-0.2823505682890672,40000000000.0,100000000000.0,4.493253408544023e-12,2.518044305417088e-12,-9.828618216404179,-3.5218251767706805
device_0030__Sparams.csv,374.8452169864641,312.43683134051076,-0.4314240671688093,70000000000.0,100000000000.0,4.09913719384891e-12,3.0844176454791176e-12,-7.781732467753709,-3.5218251767706805
device_0031__Sparams.csv,402.6159368899625,407.22078085088816,0.144837992222294,100000000000.0,70000000000.0,8.005940196770385e-12,2.0860103784932642e-12,-8.149732232185723,-11.061692263259744
device_0032__Sparams.csv,415.62640038925434,325.71704828504005,-0.5999873320599267,70000000000.0,100000000000.0,3.5938670623245527e-12,2.835089351107786e-12,-7.859140047410276,-3.5218251767706805
device_0033__Sparams.csv,411.51579494644847,297.45883376747094,-0.28026229686215787,30000000000.0,100000000000.0,4.318114133640908e-12,2.431806210454243e-12,-10.398025189605445,-3.5218251767706805
device_0034__Sparams.csv,462.49595143548015,390.65411900802326,-0.6002147584346795,100000000000.0,100000000000.0,3.2547313952254713e-12,2.3472810124982946e-12,-6.412041287612364,-3.5218251767706805
device_0035__Sparams.csv,472.1211800499119,280.8318614903026,-0.11780477271841008,30000000000.0,100000000000.0,4.579196732712365e-12,2.69704373638998e-12,-10.872071285687676,-3.5218251767706805
device_0036__Sparams.csv,500.56622749957705,262.5472044255349,-0.011034514296102537,20000000000.0,80000000000.0,4.978875118503875e-12,3.236399042491522e-12,-13.211899560238301,-3.591303917633285
device_0037__Sparams.csv,443.3248049997145,426.57515004194215,-0.8,100000000000.0,100000000000.0,3.23498014427505e-12,2.168149023570362e-12,-5.055077993741378,-3.5218251767706805
device_0038__Sparams.csv,560.581227559343,345.00417490333666,-0.06723064685131029,20000000000.0,80000000000.0,5.19539860334892e-12,3.501803820900154e-12,-14.24770561637052,-4.252033105812417
device_0039__Sparams.csv,401.6294496259618,311.14727228774905,-0.2038170866639247,70000000000.0,100000000000.0,4.188491755360092e-12,3.1983410143276875e-12,-7.181935118747428,-3.5218251767706805
device_0040__Sparams.csv,572.856027153601,361.09883693428765,-0.0340941654531823,20000000000.0,70000000000.0,5.69572979842887e-12,3.728369941302314e-12,-13.879668797884111,-6.312792746820608
device_0041__Sparams.csv,500.99696607483276,394.7265224301003,-0.8,80000000000.0,100000000000.0,2.8975665552324273e-12,2.136005039266745e-12,-6.883705400539496,-3.5218251767706805
