Pair1: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=69, inner_diam=63
Pair2: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=6, center_gap=69, inner_diam=70
Pair3: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=71, inner_diam=113
Pair4: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=91, inner_diam=87
Pair5: turns_top=3, turns_bot=1, linewidth_top=5, linewidth_bot=5, center_gap=91, inner_diam=118
Pair6: turns_top=2, turns_bot=1, linewidth_top=5, linewidth_bot=8, center_gap=79, inner_diam=77
Pair7: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=7, center_gap=84, inner_diam=120
Pair8: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=4, center_gap=78, inner_diam=45
Pair9: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=8, center_gap=65, inner_diam=44
Pair10: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=84, inner_diam=114
Pair11: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=6, center_gap=64, inner_diam=61
Pair12: turns_top=2, turns_bot=1, linewidth_top=7, linewidth_bot=7, center_gap=95, inner_diam=41
Pair13: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=6, center_gap=58, inner_diam=90
Pair14: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=8, center_gap=86, inner_diam=89
Pair15: turns_top=3, turns_bot=1, linewidth_top=4, linewidth_bot=4, center_gap=64, inner_diam=82
Pair16: turns_top=3, turns_bot=1, linewidth_top=7, linewidth_bot=5, center_gap=70, inner_diam=87
Pair17: turns_top=3, turns_bot=1, linewidth_top=8, linewidth_bot=8, center_gap=67, inner_diam=48
Pair18: turns_top=2, turns_bot=1, linewidth_top=4, linewidth_bot=6, center_gap=94, inner_diam=72
